fa,la
Rachel Bastiaenen, Mark M Gallagher
Salvatore Brugaletta, Patrick W. Serruys
Martin R. Cowie,Martin R. Cowie
Ertunc Altiok, Rainer Hoffmann
Véronique L. Roger, Melanie B. Turner
Giuseppe Penno, Stefano Del Prato
Olaf B. Paulson, Louis Sokoloff
Adrianus J. Bakermans, Jeanine J. Prompers
Wu Ding, Mao Zhang
Palma M. Shaw, Kathleen J. Ozsvath
Deepak Bhakta, M.P.H. William J. Groh
Jennifer Logue, Naveed Sattar
Chang Wook Nam, Fame Study Investigators
Meritxell Nus, José Luis de la Pompa
Gregg C. Fonarow, Clyde W. Yancy
Frederik Stöhr, Markus J. Wilhelm
Bruce N. Van Vliet, Norman R.C. Campbell
Patricia K. Nguyen, Joseph C. Wu
Robert Raschke, Roxanne GarciaOrr
Rong Liu, Xiao Xing Liao
Eloi Marijon, Xavier Jouven
Osman Najam, Nizar Yonan
William C. Cushman, Robert J. Weiss
Priyanka Trivedi, Gopabandhu Jena
Eva Base, Michael Hiesmayr
Ilia Gur, Steven G. Katz
Maurice M. W. Nieuwenhuis, Martje H. L. van der Wal
R. Raamat, Jana Kivastik
Dinko Susic, Edward D. Frohlich
Jessica Lee, Michael D. Darcy
Maike Krenz, Ronald J. Korthuis
Louise Lind Schierbeck, Jens-Erik Beck Jensen
Jennifer Finkel,Jennifer Finkel
Bruce C.V. Campbell, Stephen M. Davis
Anand Sachithanandan, Balaji Badmanaban
Bruce A. Reitz,Bruce A. Reitz
Graham W. Petley, Charles D. Deakin
Joan R. Masclans, Ferran Morell
Thomas Deneke, Martin Bansmann
Metesh Nalin Acharya, Steven Tsui
Neal J. Naff, Daniel F. Hanley
Renée J. Turner, Frank R. Sharp
Michael Dreher, Wolfram Windisch
R. Scott Wright, James P. Zidar
Mariana S. Parahuleva, Ali Erdogan
Alberto Cordero, Vicente Bertomeu-Martínez
Elena Tous, Jason A. Burdick
Jia Zhou, Lan Yuan
Michael Gotzmann, Andreas Mügge
Masanori Kawaguchi, Uichi Ikeda
Mareike Lankeit, Stavros Konstantinides
Tam K. Dao, Raja R. Gopaldas
Jorik R. Timmer, Arnoud W J van 't Hof
Eberhard Rabe, F. Pannier
Jieli Chen, Michael Chopp
Anthony S. Kim, S. Claiborne Johnston
Gregory B. Lim,Gregory B. Lim
Daniel I. Simon, Mukesh K. Jain
Peter M. Clifton,Peter M. Clifton
Ziya Kaya, Oliver J. Müller
Mark C. Houston,Mark C. Houston
Peter Kanellakis, Alex Bobik
Alexandra King,Alexandra King
Sarah Akbar, Helen R. Griffiths
Michele Brignole, Carlo Menozzi
Arun Dahiya, Allan L. Klein
Atsushi Ikeda, Nobuyuki Kuroiwa
Jeong Rang Park, Duk Kyung Kim
Stryder M. Meadows, Ondine Cleaver
Marcello Disertori, Maria Grazia Franzosi
Hans-Dirk Düngen, Rainer Dietz
Edward Lee, Stephen T. Kee
Marzia Giaccardi, Andrea Colella
Jakob Vinten-Johansen, Weiwei Shi
Christopher M. Celano, Jeff C. Huffman
Ingrid A.-L. Persson, Rolf G. G. Andersson
Pascha Schafer, Robert J. Applegate
Aiko Hashimoto-Komatsu, Koichi Node
Vijay Kandalam, Zamaneh Kassiri
Satoshi Imaizumi, Srinivasa T. Reddy
Tsung O. Cheng,Tsung O. Cheng
Yuli Huang, Yunzhao Hu
Daniel A. Duprez, Jay N. Cohn
Sébastien Czernichow, John Chalmers
Polina Goichberg, Annarosa Leri
Anselm K. Gitt, Diethelm Tschöpe
M. de Bucourt, Ulf Teichgräber
Zhongwu Liu, Michael Chopp
Masahiro Murakami,Masahiro Murakami
Akash R. Patel, Matthew J. Gillespie
Matthijs Moerland, Jacobus Burggraaf
Marieke A. Hillaert, Eric Van Belle
Praveen Jayan J P, Chitra Narasimhan
Francesco A. Aiello, Darren B. Schneider
Rutger J. van Bommel, Jeroen J. Bax
Keiichi Inada, William G. Stevenson
Richard Lowrie, John J.V. McMurray
Michael A. Gaglia, Ron Waksman
Liqun Wu, Congxin Huang
Kathleen Stergiopoulos, Travis J Bench
Young-Wook Kim, Kiick Sung
Eduardo Candelario-Jalil, Gary A. Rosenberg
Sai Yendamuri, Todd L. Demmy
Yan Topilsky, Soon J. Park
Halil Celepci, Erich Brenner
Nicolas F. Schroten, Rudolf A. de Boer
Laurent Gorin, Gregory Y.H. Lip
Sai Yendamuri, Todd L. Demmy
Kana Inoue, Iichiro Shimomura
Lippincott Williams Wilkins,Lippincott Williams Wilkins
Linda L. Coventry, Alex Bremner
Khaled D. Algarni, Terrence M. Yau
B. Scheller, Arbeitsgruppe Interventionelle Kardiologie
Carlo Zebele, André van Zundert
Karel Tyml,Karel Tyml
Kristoff A. Olson, Wayne D. Rosamond
Jan Westerink, Frank L.J. Visseren
N. Dobby, R. Bingham
I. Smith, James D. Cameron
Qiangjun Cai, Michael M. Koerner
Frederick S. Korte, Michael Regnier
Areli Cunha Pinheiro, Vitor Oliveira Carvalho
Chrysafios Girasis, Stephan Windecker
Philippe Mabo, Jean-Claude Daubert
Jordi Salas-Salvadó, Emilio Ros
Alexander Wolf, Kathryn E. McGoldrick
Charisis Totsikas, Norbert Stefan
Ngai-Yin Chan, Suet-Ting Lau
Ran Kornowski, Horizons-Ami Trial Investigators
Shaunta Guha, Paul A. Cahill
Akiko Shibuya, Yoshiaki Kondo
Oren Zusman, Doron Zahger
Marco Valgimigli, Roberto Ferrari
Mads Brix Kronborg, Jens Cosedis Nielsen
Hadi A R Hadi Khafaji, Jassim Al Suwaidi
Jason Chin, Melina R. Kibbe
Peter S. Sever, Neil R Poulter
Christine Tompkins, M.P.H. Charles A. Henrikson
Markku Lähteenvuo, Anne Saaristo
Lilei Yu, Sunny S. Po
Chiaki Nakanishi, Masakazu Yamagishi
Sang Il Min, Sang Joon Kim
Jung Won Suh, Hyo-Soo Kim
Charles D. Deakin,Charles D. Deakin
Laurence Nunn, Pier D. Lambiase
Antoine M. Hakim,Antoine M. Hakim
Eric Buch, Peter H. Belott
Ramyar Gilani, Kenneth L. Mattox
Luiz Sergio F. Carvalho, Andrei C. Sposito
Yasumichi Arai, Nobuyoshi Hirose
Yunfei Cai, Jingpu Shi
Paul S. Mueller, Barbara A. Koenig
Randall C. Starling, Francis D. Pagani
Paul Chan, John A. Spertus
Mark J. Boogers, Jeroen J. Bax
Anthony S. Leicht, Jonathan Golledge
Matthew R. Reynolds, David J. Cohen
Hai Xu, Yi Xu
Darouna Kattygnarath, Pascale Guicheney
Frederick J. Raal, A. David Marais
Bernice L. Y. Cheuk, Stephen W.K. Cheng
Theresa M. Olasveengen, Petter Andreas Steen
Alaina K. Kipps, Jami C. Levine
Francis Juthier, Alain Prat
Luca Santini, Francesco Romeo
Francesca Polito, Domenica Altavilla
Oh Young Bang, Jong S. Kim
Michael D. Parkins, J. Stuart Elborn
Donghoon Lee, Alfred L. Goldberg
Richard J. Owen, Irwin J. Griffith
Ari Cedars, Philip A. Ludbrook
Pete Fong, John A. McPherson
Jennifer B. Christian, Kimberly A. Lowe
R H Bhogal, I K Nyamekye
Kelly M. Smith, Heather M. Arthur
Beatrijs Bartelds, Rolf M. F. Berger
Qian Yang, Zi-li Liao
Achille C. Pessina, Gian Paolo Rossi
Yulong Hu, Qi Chen
Kirthana Kunikullaya U, Jaisri Goturu
Michael K. Atalay, Lazaros K. Kochilas
Rafeeq P.H. Ahmed, Muhammad Ashraf
Paolo Girotti, Ugo Pastorino
Mauricio Guidi Saueressig, Redha Souilamas
Jaewhan Kim, Peter Philips
Tim Luijkx, Maarten J. Cramer
Douglas L. Blowey, Matthew Hall
Christoph Schramm, Konstanze Plaschke
Raffaele Bugiardini, II Investigators
Leticia Fernández-Friera, Luke K. Hermann
I. M. de Jong, G. S. de Ruiter
John C. Fox, Kiah Bertoglio
Santiago Lorenzo, Tony G. Babb
Michel E. Safar, Piotr Jankowski
Cynthia K. Brenden, Charles A. Herzog
Ying-Hsiu Chang, Ming-Jen Tsai
Folke Rönn, Steen M. Jensen
Dominik Schlosshan, Greg Cranney
Walter J. Gomes, Francisco Alves
Yuichiro Maekawa, Keiichi Fukuda
Christopher Semsarian, Robert M. Hamilton
Atsushi Hoshino, Hiroaki Matsubara
Bruna Eibel, Renato A. K. Kalil
Nitesh Gadeela, George S. Abela
Alessandro Biffi, Jonathan Rosand
Sofie Huybrechts, Luc M. Van Bortel
Timothy P. Fitzgibbons, Michael P. Czech
Michael M. Givertz,Michael M. Givertz
Brian Ko, Sujith Seneviratne
Mihaela Saler, David C. Hess
Kristjan Gudmundsson, Frieder Braunschweig
Andrew O. Odegaard, Mark A. Pereira
Patricia K. Nguyen, Joseph C. Wu
Josep Gomez-Lara, Patrick W. Serruys
Lindsey Tilling, Brian Clapp
Tracy Y. Wang, L. Kristin Newby
Guri Greiff, Hilde Pleym
Jens Minnerup, Wolf-Rüdiger Schäbitz
Ferdinando Iellamo, Maurizio Volterrani
Ralph J. Damiano, Richard B. Schuessler
Douglas Elder, Chim C. Lang
Yasutomi Higashikuni, Masataka Sata
Stanislava Chtarbanova, Jean-Luc Imler
Doron Aronson, Andrew J. Burger
Marla K. Beauchamp, Dina Brooks
Bela F. Asztalos, Ernst J. Schaefer
Annelies E. van der Hulst, Eduard R. Holman
Mai Tone Lønnebakken, Eva Gerdts
Javier Díez, Susana Ravassa
Anne B. Curtis, Kinan Dalal
Hsu Ko Kuo, Kenichi Fujise
Karen Sliwa, Simon Stewart
Timothy R. McConnell, Troy A. Klinger
Mariela Agosto, Bruce T. Liang
Angela K. Peter, Ju Chen
Debra A. Robbins,Debra A. Robbins
Hiroyuki Yokoyama, Hiroshi Nonogi
Leonardo Pires de Sá Nóbrega, Cláudio Eluan Kalume
Matthew T. Roe, Eric D. Peterson
Kayo Tanigawa, Takashi Kawamura
Emrush Rexhaj, Claudio Sartori
Madhu G. Chandratilleke, Brian J. Smith
Annemarieke E. Loot, Ingrid Fleming
Ferdinando Pasquale, Perry M. Elliott
David W. Van Norstrand, Michael J. Ackerman
Ramy A. Badawi, Stephen R. Ramee
Jun-Lin Jiang, Changping Hu
Heng Wang, Baozhong Xin
Mohamed A. Elsharawy, Sahar M Greish
Ann-Sofie Forslund, Dan Lundblad
Frederic S. Resnic, Kalon K.L. Ho
Rebecca A. Torres, David S. Weber
Matthias Nahrendorf, Ralph Weissleder
Jeffrey J. Goldberger, Douglas P. Zipes
Henrik Fischer, Robert Greif
Seil Oh, Todor N. Mazgalev
Robert S. Sheldon, Richard Leather
Timm Dickfeld, Jean Jeudy
Susan C. Fagan, David C. Hess
Jin Wi, Yangsoo Jang
Sergio Manzano-Fernández, James L. Januzzi
Nastran Hashemi, Vijay Balasubramanian
Gregory Giamouzis, Javed Butler
Hiroki Ueno, Masaaki Inaba
Phang Boon Lim, Prapa Kanagaratnam
Elisabeth M.J. Huis In 'T Veld, François Pouwer
Luca Bertolaccini, Alberto Terzi
Caroline L Watkins, C. Elizabeth Lightbody
Amanda M. Dick, Fred A. Crawford
Christian Storm, Mattias Roser
Udi Nussinovitch, Arie Altman
Phillippe Gabriel Steg, Jean-Philippe Collet
Sam Chitsaz, Elaine E. Tseng
Christoph Kleinschnitz, Carola Förster
Guang-ming Chen, Jian Chen
Uwe Zeymer, Anselm K. Gitt
Alexandre Trigano, Karine Castellani
Philip Wood, Peter P. Liu
Jennifer G. Duncan,Jennifer G. Duncan
Jean-Christian Borel, Jean-Louis Pépin
Lucas Andre, Olivier Cazorla
Robb D. Kociol, Adrian F. Hernandez
Revital Young Altahan, Victor Guetta
Antonio Grimaldi, Ottavio Alfieri
Jan Van der Heyden, Maarten J. Suttorp
Robert D. Reid, Andrew L. Pipe
Robert F. Riley, Larry S. Dean
Saeed Babaeizadeh, David P. White
Ravi Nistala, James R. Sowers
C. Sinning, Christoph Bickel
Iosif Kelesidis, Mark I. Travin
Taichi Ohshiro, Hiroshi Tomoda
Willa A. Hsueh, Kathleen Wyne
Andrea L. Vavere, Joao A.C. Lima
Tochi M. Okwuosa, Donald M. Lloyd-Jones
O.F. Bertrand, Louis Roy
Addison A. Taylor, Shawna D. Nesbitt
Michael H. Davidson,Michael H. Davidson
Raymond H. Thornton, Karen T. Brown
Julian F. Thayer, Joachim E. Fischer
Guillermo Mora Pabón, John A. Ramírez
Kristian Thygesen, Allan S. Jaffe
Zubair Shah, Sanjay Rajagopalan
Barry R. Palmer, Vicky A. Cameron
Willem J. Verberk, Theo Thien
Kathleen R. Rotheray, Colin A. Graham
Cosimo D’Alessandro, Alain Pavie
Edite Teixeira-Lemos, Flávio Reis
Julia Schumm, Thomas E. Mayer
Sérgio Lamêgo Rodrigues, José Geraldo Mill
Abdelbaset M. Saleh, Nabil J. Awadalla
Luis Chug, Heath Latham
Umar Sadat,Umar Sadat
Narasimharajapura S. Rajendra, Allan D. Struthers
Roberto Elosua, Alberto Morales Salinas
Yat-Yin Lam, Vincent Paul
Elfriede Ruttmann, Michael Grimm
Akif Turna, Atilla Gürses
Thomas Krabatsch, Roland Hetzer
Shogo Nishi, Masato Yoshida
Eric C. Peterson, Gavin W. Britz
Vinay Mahajan, Petr Jarolim
Hakan Selcuk, Civan Islak
Valérie Stolt, Bernhard Meier
Takako Miyazaki, Hitoshi Yaku
Nestor Kisilevzky, Henrique Elkis
Christoph Preuss, Monika Stoll
Zack Moore, Nicola D. Thompson
Andrew Ludman, Derek J. Hausenloy
Gareth J. Harrison, Richard G. McWilliams
Marcos Daccarett, Nassir F. Marrouche
Laurent Suissa, Sylvain Lachaud
José Hermida, Alvaro Alonso
Julien I. E. Hoffman,Julien I. E. Hoffman
Anzics-Core Met dose Investigators, Steven A R Web
Aleksander Kempny, Gerhard-Paul Diller
Lori Zacharoff, Janet M. Dubinsky
Roberto Muñoz Arrondo, Jaime Gállego Culleré
Matteo Nicola Dario Di Minno, Giovanni Di Minno
Hong Wang, Oscar A. Carretero
Sandeep S. Mangalmurti, Michael H. Davidson
Robert Stöhr, Rainer Hoffmann
Boris Guiu, Thierry de Baere
C. Noel Bairey Merz,C. Noel Bairey Merz
Arie Pieter Kappetein, Antonio Colombo
Philipp Jakob, Ulf Landmesser
Eva Goossens, Philip Moons
Susan Robinson, Kathleen Dracup
Haitham Jamil Kanan, Bushra Al Hunaidi
Christina Voulgari, Christodoulos Stefanadis
Drew M. Caplin, Darryl A. Zuckerman
Per Torger Skretteberg, Johan Bodegard
Michael C. McDaniel, Habib Samady
Javier E. Anaya-Ayala, Michael J. Reardon
Raja R. Gopaldas, Denton A. Cooley
TingTing Hong, Robin M. Shaw
Charumathi Sabanayagam, Shanmugasundaram Somasundaram
Per Magnus, Jørg Mørland
Claudio Marelli, Anthony N. DeMaria
Harvey D. White,Harvey D. White
Cynthia M. Westerhout, Paul W. Armstrong
Michael H. Gollob, Jason D. Roberts
Subham Ghosh, Yoram Rudy
Roshni Kulkarni, J. Michael Soucie
Ali N. Azadani, Elaine E. Tseng
Liliya Paranskaya, Hueseyin Ince
Federico Venuta, Giorgio F. Coloni
Abouelmagd Makramalla, Darryl A. Zuckerman
Damien J. LaPar, Christine L. Lau
Fan-Cai Lai, Xu Li
Qijun Zheng, Xin-Liang Ma
Victoria Parish, Philipp Beerbaum
Lamiae Grimaldi-Bensouda, Lucien Abenhaim
Barbra E. Backus, Pieter A. Doevendans
Richard Body, Kevin Mackway-Jones
Feng Hua Yang, W. Glen Pyle
Wayne Tymchak, Robert C. Welsh
Paul Chan, John A. Spertus
Patrick W. Serruys, Yoshinobu Onuma
Hyehun Choi, R. Clinton Webb
Carlos O. Mendivil, Frank M. Sacks
Stéphane Manzo-Silberman, Ibrahim Elmadbouh
David S Liebeskind, Jeffrey L. Saver
Johannes-Peter Stasch, Oleg V. Evgenov
Lorenz Theiler, Robert Greif
Dengfeng Gao, Jian Yang
Jirar Topouchian, Roland Asmar
Michael E Barnes, James S Tweddell
Augusto Di Castelnuovo, Licia Iacoviello
Manuel A. Gonzalez, Ron Waksman
Aymeric Rouchaud, Pierre Amarenco
Mitchell Karl, John Brejda
Ulrich Dirnagl, Martin Lauritzen
Byoung C. Moon, Henry N. Ginsberg
Paola Haddad, Alain Rivard
Yun Chen, Gerald W. Dorn
Robert West, Andrew H. Henderson
Øyvind Bleie, Ottar Nygård
Jie Lian, Dirk Muessig
Jeffrey L. Anderson, Joseph B. Muhlestein
Hendrik Treede, Hermann Reichenspurner
Wolfram Doehner, Stefan D. Anker
John D. York, M. Brodie
François Regoli, Angelo Auricchio
Dimitre Staykov, Rishi Gupta
Amie W. Hsia, Chelsea S. Kidwell
Emerson Liu, Mark E. Josephson
Todd J. Anderson, Eva Lonn
Allegra Battistoni, Massimo Volpe
Mohammad Q. Najib, Hari P. Chaliki
Ralph Maddison, Leila Pfaeffli
David Owen, Justin P. Rubio
Amir Lotfi, Paul Visintainer
Charles D. Swerdlow, Raja N. Ghanem
Dennis Rottlaender, Uta C. Hoppe
Jaya Bhattarai, James Walsh
Janus Adler Hyldebrandt, Hanne Berg Ravn
Francisco José Romero-Bermejo, Maria J. Huertos-Ranchal
R W L, Kurosh Parsi
Gian Paolo Ussia, Corrado Tamburino
Daniel T. Negash, William R. Henderson
Darren McLoughlin, J. Mark Redmond
Ana Laynez, Ron Waksman
Anwar Osborne, Stephen R. Pitts
Roberto Lorusso, Andrea Giustina
J Murphy, Aa Jennifer Adgey
Mark H. Drazner,Mark H. Drazner
Lukasz J Krzych, Andrzej Bochenek
D. M. Kusters, John J. P. Kastelein
Meimei Yin, Rudolf A. de Boer
Fen Wei Wang, Barry F. Uretsky
Tom Briffa, Michael Hobbs
Stefan Stortecky, Mario Togni
Luciana Armaganijan, Jeff S. Healey
Joseph C. Vaglio, Satish R. Raj
Binu Philips, Saman Nazarian
Hendrika J. Luijendijk, Henning Tiemeier
Joel Handler, Daniel T. Lackland
Scot Garg, Patrick W. Serruys
David P. Faxon,David P. Faxon
Neeraj Badjatia, Mitchell S.V. Elkind
Hyeon Hui Kang, Ki Hoon Park
Furio Colivicchi, Massimo Santini
Richard M. Schwartzstein, Michael Parker
Jason Ng, Rishi Arora
Zoltán Papp, Ferenc Follath
Larissa Fabritz, Paulus Kirchhof
Susanna C. Larsson, Alicja Wolk
Salvatore De Rosa, Andreas M. Zeiher
Mihai Gheorghiade, Gregg C. Fonarow
Takahiro Mori, Tsutomu Imaizumi
Imran N. Mungrue, Aldons J. Lusis
Ido Weinberg, Michael R. Jaff
Louis M. Kwong,Louis M. Kwong
Helmut Baumgartner,Helmut Baumgartner
Peter Libby, Eduardo J. Folco
Gijs H. Goossens, Ellen E. Blaak
Patricia Jabre, Xavier Jouven
G. Peach, Robert J. Hinchliffe
Min Yong Park, Sun Hee Chang
John A. Elefteriades,John A. Elefteriades
Kumaresan Nagarajan, Babu Naidu
Ayman A. Hussein, Oussama M. Wazni
Ozlem Ton, Fevziye Kabukcuoglu
Mara B. Antonoff, Jonathan D'Cunha
Hideya Yamamoto, Yasuki Kihara
Shinsuke Miyazaki, Michel Haïssaguerre
Jan Breckwoldt, Hans-Richard Arntz
Michael Farias, David Fulton
Marcelo A. Mori, C. Ronald Kahn
Ho Il Yoon, Don D. Sin
Alon Barsheshet, Ilan Goldenberg
Calvin Kiu Yan Chan, Paul M Vanhoutte
George L. Hines, Douglas S. Katz
Francesco P. Cappuccio, Michelle A. Miller
Marc S. Sabatine, Eugene Braunwald
Jens Garbade, Friedrich-Wilhelm Mohr
Guanyu Yang, Jouke Dijkstra
Albina Nowak, Christian Müller
Barry J. Maron,Barry J. Maron
Kosmas I. Paraskevas, Frank J. Veith
Aspasia Angelakopoulou, Aroon D. Hingorani
Jarett D. Berry, Donald M. Lloyd-Jones
Bruce Campbell,Bruce Campbell
Kristin L. Thanavaro, Joanne L. Thanavaro
Björn Folkow,Björn Folkow
Peter C. Rimensberger, Ronald A. Bronicki
Garri Pasklinsky, Peter J. Pappas
David D. McManus, Ramachandran S. Vasan
Szilard Voros, Todd C. Villines
Aleda M.H. Chen, Holly L. Mason
Kiyotaka Okura, Tatsuro Tsuchida
Kim A. Connelly, Richard E. Gilbert
Ni Zhu, Yong-Wen Qin
Alban Redheuil, Joao A.C. Lima
Valeria Calvi, Corrado Tamburino
Kedryn K. Baskin, Heinrich Taegtmeyer
Michael Czihal, Ulrich Hoffmann
Andres M. Pineda, Joseph Lamelas
Yasunobu Hayabuchi, Shoji Kagami
Song Soo Kim, Heung Gon Hwang
Nowell M. Fine, Charanjit S. Rihal
Juan Luis Gutiérrez-Chico, Patrick W. Serruys
Helen Dolk, Ester Garne
Steven Shea, Frank A.J.L. Scheer
Antonios Kourliouros, Thanos Athanasiou
Anne K. Lagendijk, Jeroen Bakkers
Cheryl R. Dennison, Suzanne Hughes
Scott Bingham, Rory Hachamovitch
M W Schul, B Erdman
Yongming Ren, Yibing Qyang
Peter Stone, Charles L. Feldman
Christiane Drechsler, Christoph Wanner
Kevin Mani, David Lindström
Sadık Yaldız, Seyda Ors Kaya
David M. Klachko, Adam Whaley-Connell
Sylvain Galvani, Robert Salvayre
Emmanuel Stamatakis, David W. Dunstan
George D. Veenhuyzen, L. Brent Mitchell
T. Jared Bunch, John D. Day
Jennifer A. Tremmel, Alan C. Yeung
Andrew Feber, Virginia R. Litle
Sherif Assaad, Albert C. Perrino
Lisan A. Neefjes, Pim J. de Feyter
Brent Boyer, Sean P. Collins
W. Sherman, Abbas Ardehali
Howard J. Willens, Fareed Mohammed
Konstantinos G. Moulakakis, Christos D. Liapis
Marie-Annick Clavel, Philippe Pibarot
Jonathan R. Murrow, Arshed A. Quyyumi
Charles Knight, Adam Timmis
Amol Bahekar, Rohit Arora
Alastair J.S. Webb, Peter M. Rothwell
Manuel Gerónimo-Pardo, M. Martínez-Serrano
Angelino Calderone,Angelino Calderone
Neeraj Mediratta, Archana Rao
Anthony S. Fargnoli, Charles R. Bridges
Carla Janzen, Gautam Chaudhuri
Matthew J. Budoff, James K. Min
Satoru Kodama, Hirohito Sone
Daniel J. Gould, Mary E. Dickinson
Charles V. Pollack, Jeffrey A. Kline
Patricia Campbell, Donato Sisto
Jiantao Xiao, Elliot L. Chaikof
Karen Baker, E. Diane Playford
Kirsi A. Virtanen, Pirjo Nuutila
Harlan M. Krumholz, Jeptha P. Curtis
Andreas Straub, Karlheinz Peter
Susan J. Pressler, Bruno Giordani
Michael Levine, Anne-Michelle Ruha
Yi-Zhou Xu, Yong-Mei Cha
Betsy Lee, Judd E. Hollander
Sheena E Ramsay, S. Goya Wannamethee
Ritesh Dhar, Karthikeyan Ananthasubramaniam
Tatiana F. Galvao, William C. Stanley
Brendan Bell, Darren L. Walters
Sukhjinder Nijjer, Iqbal S. Malik
Riccardo Contu, Gianluigi Condorelli
Kristina Sundquist, Jan Sundquist
Victor Kim, Gerard J. Criner
Pablo Rusjan, Romina Mizrahi
Kelly A. Weir, Anne B. Chang
Marcos Daccarett, Mohamed H. Hamdan
Xuefang Ren, Halina Offner
Natalia Egorova, Annetine C. Gelijns
Martin Möckel, Horizons-Ami Trial Investigators
Domenico Calcaterra, Daniel Calva
Jae Y. Kim, Wayne L. Hofstetter
Mark C. Houston,Mark C. Houston
Paolo Alboni, Lorella Gianfranchi
Philip A. Ades, David J. Schneider
Kelli S. Dempsey,Kelli S. Dempsey
Khalil Murad, Dalane W Kitzman
Karen Sliwa, Bernard J. Gersh
Sagit Ben Zekry, William A. Zoghbi
Subodh Verma, Eva Lonn
,
Keiichiro Yoshinaga, Nagara Tamaki
Bassem N. Mora, Charles B Huddleston
Shigeki Kimura, Tsunekazu Kakuta
Xu Ji, Naoharu Iwai
Darren P. Casey, Randy W. Braith
Rachana Mishra, Sunjay Kaushal
Jin Hee Kang, Dong Hyun Cha
Rukshen Weerasooriya, Pierre Jaïs
Nektaria Nicolakakis, Edith Hamel
Edouard Cheneau, Dimitri Panagides
Kamal Chaouachi,Kamal Chaouachi
Henry Krum, Markus P. Schlaich
Sona Mitra, Jawahar L. Mehta
R. Preston Mason,R. Preston Mason
J. P. Benigni, X. Stalnikiewicz
Byung Jin Kim, Jin Ho Kang
Marc Riquet, Françoise Le Pimpec Barthes
Thomas Unger, Domenic A. Sica
Inderpal S. Sarkaria, Valerie W. Rusch
Tai Kojima, Shinya Minatoguchi
Shijun Hu, Joseph C. Wu
Gregory F. Michaud, Roy M. John
Duck-chul Lee, Steven N. Blair
Ae-Kyeong Kim, Dong Ik Kim
Doff B. McElhinney, William E. Hellenbrand
Felix Mahfoud, Michael Böhm
Davide Capodanno, Dominick J. Angiolillo
L. Brent Mitchell,L. Brent Mitchell
Larry A. Allen, Gregg C. Fonarow
Nathaniel M. Hawkins, John J.V. McMurray
Maboury Diao, Serigne Abdou Ba
J. Gosling, John Asquith
Stephanie Fichtner, Karl-Heinz Ladwig
Daniel Duprez, Richard Wright
Linda Marcuccilli, Susan Wright
Mélanie Riedel, Thierry Couffinhal
Makoto Yamashita, Chuwa Tei
Akira Sezai, Atsushi Hirayama
Thomas Schachner, Johannes Bonatti
Jonathon Leipsic, Cameron J. Hague
Salvatore Pasta, David A. Vorp
Yong Wei, Fan Li
Mohammad Afzal Khan, Mark R. Nicolls
